event_id,role,frame_idx,frame_name,source_path,output_path,timestamp_sec
event_0001,baseline,1427,Capture37597.tif,/Users/claydunford/Downloads/Video 12/Capture37597.tif,/Users/claydunford/Development/IOS-Analysis-Code/Python/SD id tool/output/event_0001/baseline/001427_Capture37597.tif,
event_0001,event,1428,Capture37598.tif,/Users/claydunford/Downloads/Video 12/Capture37598.tif,/Users/claydunford/Development/IOS-Analysis-Code/Python/SD id tool/output/event_0001/event_extent/001428_Capture37598.tif,
event_0001,event,1429,Capture37599.tif,/Users/claydunford/Downloads/Video 12/Capture37599.tif,/Users/claydunford/Development/IOS-Analysis-Code/Python/SD id tool/output/event_0001/event_extent/001429_Capture37599.tif,
event_0001,event,1430,Capture37600.tif,/Users/claydunford/Downloads/Video 12/Capture37600.tif,/Users/claydunford/Development/IOS-Analysis-Code/Python/SD id tool/output/event_0001/event_extent/001430_Capture37600.tif,
event_0001,event,1431,Capture37601.tif,/Users/claydunford/Downloads/Video 12/Capture37601.tif,/Users/claydunford/Development/IOS-Analysis-Code/Python/SD id tool/output/event_0001/event_extent/001431_Capture37601.tif,
event_0001,event,1432,Capture37602.tif,/Users/claydunford/Downloads/Video 12/Capture37602.tif,/Users/claydunford/Development/IOS-Analysis-Code/Python/SD id tool/output/event_0001/event_extent/001432_Capture37602.tif,
event_0001,event,1433,Capture37603.tif,/Users/claydunford/Downloads/Video 12/Capture37603.tif,/Users/claydunford/Development/IOS-Analysis-Code/Python/SD id tool/output/event_0001/event_extent/001433_Capture37603.tif,
event_0001,event,1434,Capture37604.tif,/Users/claydunford/Downloads/Video 12/Capture37604.tif,/Users/claydunford/Development/IOS-Analysis-Code/Python/SD id tool/output/event_0001/event_extent/001434_Capture37604.tif,
event_0001,event,1435,Capture37605.tif,/Users/claydunford/Downloads/Video 12/Capture37605.tif,/Users/claydunford/Development/IOS-Analysis-Code/Python/SD id tool/output/event_0001/event_extent/001435_Capture37605.tif,
event_0001,event,1436,Capture37606.tif,/Users/claydunford/Downloads/Video 12/Capture37606.tif,/Users/claydunford/Development/IOS-Analysis-Code/Python/SD id tool/output/event_0001/event_extent/001436_Capture37606.tif,
